Lineage_0me;NObs;NLocs;MST;CH;GCD;LatRg;MinLat;MaxLat;LongRg;MinLong;MaxLong;CellCount;parasiteGenus;n_sites;n_bird_individuals;n_status;riqueza;n_biomas;n_regioes;Host_Status
29092;1;1;0;0;0;0;-6.344364;-6.344364;0;-37.152527;-37.152527;1;Plasmodium;1;1;1;1;1;1;R
ABUCUJ01;1;1;0;0;0;0;-6.344364;-6.344364;0;-37.152527;-37.152527;1;Haemoproteus;1;1;1;1;1;1;R
ADEMEL01;1;1;0;0;0;0;-0.6;-0.6;0;-77.883333;-77.883333;1;Haemoproteus;1;1;1;1;1;1;R
AFR025;1;1;0;0;0;0;-6.716667;-6.716667;0;-77.416667;-77.416667;1;Haemoproteus;1;1;1;1;1;1;R
AFR028;1;1;0;0;0;0;-6.716667;-6.716667;0;-77.416667;-77.416667;1;Plasmodium;1;1;1;1;1;1;R
AFR122;3;3;66.8879340231092;42.7504228994108;66.8254508140858;58.9774353447936;-5.216667;-4.683333;22.3399777930928;-56.916667;-56.633333;2;Haemoproteus;3;3;1;3;1;1;R
AGEBAD02;1;1;0;0;0;0;-30.205564;-30.205564;0;-57.495736;-57.495736;1;Haemoproteus;1;1;1;1;1;1;R
ALEDIA01;1;1;0;0;0;0;-30.205564;-30.205564;0;-57.495736;-57.495736;1;Plasmodium;1;1;1;1;1;1;R
AMABRA01;1;1;0;0;0;0;-16.25;-16.25;0;-56.366667;-56.366667;1;Plasmodium;1;1;1;1;1;1;R
ANGAL01;1;1;0;0;0;0;-16.5630651;-16.5630651;0;-45.5308804;-45.5308804;1;Plasmodium;1;1;1;1;1;1;R
ANIFLA01;2;1;0;0;0;0;-6.583333;-6.583333;0;-77.55;-77.55;1;Haemoproteus;2;7;1;2;1;1;R
ANIGN01;1;1;0;0;0;0;4.683333;4.683333;0;-73.833333;-73.833333;1;Haemoproteus;1;1;1;1;1;1;R
ANSOM01;1;1;0;0;0;0;4.7;4.7;0;-75.483333;-75.483333;1;Haemoproteus;1;1;1;1;1;1;R
ARAJAN01;1;1;0;0;0;0;-3.7;-3.7;0;-46.75;-46.75;1;Plasmodium;1;1;1;1;1;1;R
ARBRU01;1;1;0;0;0;0;4.7;4.7;0;-75.483333;-75.483333;1;Haemoproteus;1;1;1;1;1;1;R
ARBRU02;3;3;2106.50036487022;214067.764144721;1964.51298263654;1916.79193127615;-6.583333;10.75;438.827645934111;-79.233333;-73.666667;2;Haemoproteus;3;4;1;2;1;2;R
ARRTAC01;5;5;4503.08220200835;2405206.63817038;3049.14529897509;3045.37384674072;-29.466667;-1.95;1145.67578104146;-64.716667;-50.166667;4;Plasmodium;5;6;2;4;2;2;R_M
ARRTAC02;1;1;0;0;0;0;-9.316667;-9.316667;0;-64.716667;-64.716667;1;Plasmodium;1;1;1;1;1;1;R
ARRTAC05;1;1;0;0;0;0;-1.95;-1.95;0;-51.6;-51.6;1;Haemoproteus;1;1;1;1;1;1;R
ATLBRU01;1;1;0;0;0;0;-5.1;-5.1;0;-79.233333;-79.233333;1;Haemoproteus;1;1;1;1;1;1;R
ATMEL01;1;1;0;0;0;0;10.75;10.75;0;-73.666667;-73.666667;1;Haemoproteus;1;1;1;1;1;1;R
ATPAL02;1;1;0;0;0;0;4.683333;4.683333;0;-73.833333;-73.833333;1;Haemoproteus;1;1;1;1;1;1;R
ATTCIN01;1;1;0;0;0;0;-3.7;-3.7;0;-46.75;-46.75;1;Plasmodium;1;1;1;1;1;1;R
AUTINF01;1;1;0;0;0;0;-0.583333;-0.583333;0;-64.916667;-64.916667;1;Plasmodium;1;1;1;1;1;1;R
AUTINF02;1;1;0;0;0;0;-0.583333;-0.583333;0;-64.916667;-64.916667;1;Plasmodium;1;1;1;1;1;1;R
AUTINF03;1;1;0;0;0;0;-0.583333;-0.583333;0;-64.916667;-64.916667;1;Plasmodium;1;1;1;1;1;1;R
AUTOCH01;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Haemoproteus;1;1;1;1;1;1;R
AUTOCH02;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Plasmodium;1;1;1;1;1;1;R
AUTOCH03;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Plasmodium;1;1;1;1;1;1;R
AUTPAR01;7;7;3487.05506428886;1466800.33258768;2079.71376385876;1755.26507099931;-19.566667;-3.7;1296.1284156813;-63217;-46.75;5;Plasmodium;7;14;1;12;2;2;R
AUTRUF01;1;1;0;0;0;0;-5.216667;-5.216667;0;-56.916667;-56.916667;1;Haemoproteus;1;1;1;1;1;1;R
BAEBIC02;10;8;2515.51415938678;714722.648344828;2092.62110222637;2074.69480523879;-14.06;4.7;556.810700013526;-79.233333;-72.169166;3;Plasmodium;11;22;2;10;1;2;R_M
BAFLA01;2;2;453.898959749481;0;453.898959749481;369.08907972579;-19.5907472;-16.2559998;196.631813169808;-43.5049448;-41.011001;1;Plasmodium;2;4;1;2;2;1;R
BAFLA02;4;4;3520.69892957151;801905.597106936;3392.59742031377;2641.34884915105;-30.205564;-6.344364;1599.76160360552;-57.495736;-37.152527;4;Haemoproteus;4;6;2;3;3;3;R_PM
BAFLA03;11;11;3639.36442035225;1341433.28268975;2474.41636915775;1539.9908715051;-19.4724319;-5.5524107;1590.40301539803;-55.327475;-35.103905;6;Plasmodium;11;45;3;20;3;3;R_PM_M
BAFLA04;10;10;3752.44807149858;1448717.2484012;2513.75247678587;1427.11100634205;-18.4526633;-5.5524107;1632.57345955239;-55.866667;-35.103905;7;Plasmodium;10;33;1;17;3;3;R
BAFLA05;1;1;0;0;0;0;-16.5630651;-16.5630651;0;-45.5308804;-45.5308804;1;Plasmodium;1;1;1;1;1;1;R
BAHYP01;4;4;787.416612078781;86547.5782624247;456.522668524637;436.409654210947;-18.4526633;-14.50911;312.128687663786;-47.552045;-43.59298;3;Plasmodium;4;7;1;5;1;2;R
BASFUL01;2;2;317.760256248632;0;317.760256248632;311.45350456215;-2.883333;-0.066667;44.6797296050078;-79.433333;-78.866667;1;Plasmodium;2;2;1;2;1;1;R
BASTRI01;1;1;0;0;0;0;-6.583333;-6.583333;0;-77.55;-77.55;1;Plasmodium;1;1;1;1;1;1;R
BO6;1;1;0;0;0;0;-15.3846493;-15.3846493;0;-56.757767;-56.757767;1;Haemoproteus;1;1;1;1;1;1;R
BUL07;1;1;0;0;0;0;-6.716667;-6.716667;0;-77.416667;-77.416667;1;Plasmodium;1;1;1;1;1;1;R
CAINO01;1;1;0;0;0;0;-2.883333;-2.883333;0;-79.433333;-79.433333;1;Leucocytozoon;1;1;1;1;1;1;R
CALON01;1;1;0;0;0;0;-5.5524107;-5.5524107;0;-35.103905;-35.103905;1;Plasmodium;1;2;2;2;1;1;R_PM
CAMRUB01;1;1;0;0;0;0;-3.7;-3.7;0;-46.75;-46.75;1;Haemoproteus;1;1;1;1;1;1;R
CANLEU01;2;2;90.0781210742265;0;90.0781210742265;62.6631745781146;-5.066667;-4.5;45.9938615328579;-56.85;-56.266667;2;Plasmodium;2;3;1;2;1;1;R
CANLEU02;1;1;0;0;0;0;-4.5;-4.5;0;-56.266667;-56.266667;1;Plasmodium;1;1;1;1;1;1;R
CANLEU03;1;1;0;0;0;0;-4.5;-4.5;0;-56.266667;-56.266667;1;Haemoproteus;1;1;1;1;1;1;R
CANLEU04;1;1;0;0;0;0;-4.5;-4.5;0;-56.266667;-56.266667;1;Haemoproteus;1;1;1;1;1;1;R
CAOBS01;4;4;556.622612320882;18018.8039920921;543.856528997833;489.630042817463;-19.5907472;-15.166667;175.695819616139;-45.733333;-43.5049448;2;Plasmodium;4;7;1;3;2;1;R
CARUF01;2;2;616.390613397339;0;616.390613397339;316.208914017295;-18.4526633;-15.5954324;391.817204775924;-44.5356927;-39.5655673;2;Haemoproteus;2;6;2;2;1;1;R_PM
CASFUS01;1;1;0;0;0;0;-6.6;-6.6;0;-40.116667;-40.116667;1;Plasmodium;1;1;1;1;1;1;PM
CATUST05;4;3;2741.23206800944;745544.544893824;2465.30350808222;2433.58960052186;-17.32;4.683333;575.570864772385;-77.55;-70.247667;3;Plasmodium;4;7;2;5;2;2;R_M
CATUST06;3;3;269.160790519295;160.542043154577;269.119384976949;178.780921891542;-6.716667;-5.1;143.235364377758;-79.233333;-77.416667;1;Plasmodium;3;5;1;4;1;1;R
CATUST21;1;1;0;0;0;0;4.633333;4.633333;0;-74.083333;-74.083333;1;Plasmodium;1;1;1;1;1;1;M
CERCIN01;1;1;0;0;0;0;-3.7;-3.7;0;-46.75;-46.75;1;Plasmodium;1;1;1;1;1;1;R
CERCIN02;2;2;1469.34018118844;0;1469.34018118844;278.331088560162;-9.1;-6.583333;1030.45622454568;-77.55;-64.466667;2;Plasmodium;2;2;1;2;2;2;R
CERCIN03;1;1;0;0;0;0;-9.1;-9.1;0;-64.466667;-64.466667;1;Plasmodium;1;1;1;1;1;1;R
CERCIN04;1;1;0;0;0;0;-9.1;-9.1;0;-64.466667;-64.466667;1;Haemoproteus;1;1;1;1;1;1;R
CERERY01;2;2;535.559375424534;0;535.559375424534;488.162639354764;-4998;-0.583333;156.244277010355;-64.916667;-62935;1;Plasmodium;2;2;1;2;1;1;R
CERRUB01;1;1;0;0;0;0;-9.316667;-9.316667;0;-64.716667;-64.716667;1;Plasmodium;1;1;1;1;1;1;R
CERSER01;1;1;0;0;0;0;-4998;-4998;0;-62935;-62935;1;Plasmodium;1;1;1;1;1;1;R
CHACAM01;1;1;0;0;0;0;10.691167;10.691167;0;-67.616667;-67.616667;1;Plasmodium;1;1;1;1;1;1;R
CHACAM03;1;1;0;0;0;0;-29.466667;-29.466667;0;-50.166667;-50.166667;1;Plasmodium;1;1;1;1;1;1;R
CHCAM01;1;1;0;0;0;0;-16.2559998;-16.2559998;0;-41.011001;-41.011001;1;Plasmodium;1;1;1;1;1;1;R
CHLAEN01;1;1;0;0;0;0;-9.316667;-9.316667;0;-64.716667;-64.716667;1;Plasmodium;1;1;1;1;1;1;R
CHLAME01;1;1;0;0;0;0;-16.25;-16.25;0;-56.366667;-56.366667;1;Haemoproteus;1;1;1;1;1;1;R
CHLIND01;1;1;0;0;0;0;-0.4;-0.4;0;-64.8;-64.8;1;Haemoproteus;1;1;1;1;1;1;R
CHLOP01;2;2;2470.57500255886;0;2470.57500255886;2278.94246865658;-9.916667;10.691167;679.076403025138;-76.233333;-67.616667;2;Haemoproteus;2;2;1;2;2;2;R
CHLOPH01;1;1;0;0;0;0;-6.583333;-6.583333;0;-77.55;-77.55;1;Haemoproteus;1;1;1;1;1;1;R
CHLSPI01;1;1;0;0;0;0;-6.716667;-6.716667;0;-77.416667;-77.416667;1;Plasmodium;1;1;1;1;1;1;R
CHLSPI02;1;1;0;0;0;0;-6.716667;-6.716667;0;-77.416667;-77.416667;1;Haemoproteus;1;1;1;1;1;1;R
CLAPRE01;1;1;0;0;0;0;-13.8;-13.8;0;-59.683333;-59.683333;1;Haemoproteus;1;1;1;1;1;1;R
CMV-2012haplotypeH2;1;1;0;0;0;0;-14.50911;-14.50911;0;-43.59298;-43.59298;1;Plasmodium;1;1;1;1;1;1;PM
COECOE01;1;1;0;0;0;0;-6.583333;-6.583333;0;-77.55;-77.55;1;Haemoproteus;1;1;1;1;1;1;R
COHEL01;1;1;0;0;0;0;4.616667;4.616667;0;-73.716667;-73.716667;1;Leucocytozoon;1;1;1;1;1;1;R
COLBUC01;1;1;0;0;0;0;-19.566667;-19.566667;0;-57.016667;-57.016667;1;Haemoproteus;1;1;1;1;1;1;R
COLIN01;2;2;72.4556990806977;0;72.4556990806977;13.0973303984932;-19.5907472;-19.4724319;53.5389574627446;-43.5049448;-42.825918;1;Plasmodium;2;6;1;1;1;1;R
COLIN05;5;5;1065.81216804613;141344.50590013;667.383833382247;568.815334904211;-19.5907472;-14.4510092;271.400053937854;-43.5630135;-40.1206373;2;Plasmodium;5;18;1;7;3;1;R
COLIN06;1;1;0;0;0;0;-19.5907472;-19.5907472;0;-43.5049448;-43.5049448;1;Plasmodium;1;1;1;1;1;1;R
COLIN07;1;1;0;0;0;0;-19.5907472;-19.5907472;0;-43.5049448;-43.5049448;1;Plasmodium;1;1;1;1;1;1;R
COLIN09;1;1;0;0;0;0;-19.5907472;-19.5907472;0;-43.5049448;-43.5049448;1;Plasmodium;1;1;1;1;1;1;R
COLIN11;1;1;0;0;0;0;-19.5907472;-19.5907472;0;-43.5049448;-43.5049448;1;Plasmodium;1;5;1;1;1;1;R
COLIN15;1;1;0;0;0;0;-19.5907472;-19.5907472;0;-43.5049448;-43.5049448;1;Plasmodium;1;1;1;1;1;1;R
COLIN16;2;2;453.894159086807;0;453.894159086807;369.08907972579;-19.5907472;-16.2559998;196.631813169808;-43.5049448;-41.011001;1;Plasmodium;2;4;1;2;2;1;R
COLIV03;1;1;0;0;0;0;-23.651383;-23.651383;0;-46.619467;-46.619467;1;Haemoproteus;1;1;1;1;1;1;R
COLIV06;1;1;0;0;0;0;-23.651383;-23.651383;0;-46.619467;-46.619467;1;Haemoproteus;1;1;1;1;1;1;R
COLL4;2;2;1088.64829546276;0;1088.64829546276;16.5976621955344;-15.316667;-15.166667;798.459938389694;-55.866667;-45.733333;2;Plasmodium;2;2;1;1;1;2;R
COLPAS03;3;3;2646.24168862666;808937.711814769;1627.63489983876;1544.75331986685;-15.316667;-1.35;757.798194433504;-56.366667;-46.75;3;Haemoproteus;3;13;1;3;2;2;R
COLPAS04;6;6;5357.8834645386;3241970.86962815;3083.52256593067;2099.89395124244;-19.566667;-0.583333;1969.1040252978;-64.916667;-39.841985;5;Haemoproteus;6;15;2;6;4;3;R_PM
COLPAS06;1;1;0;0;0;0;-3.7;-3.7;0;-46.75;-46.75;1;Haemoproteus;1;1;1;1;1;1;R
COLPIC01;4;4;3696.80560051221;528057.818625291;3592.2639517979;2638.20125109338;-36.716667;-12.90198;1919.75843710311;-64.283333;-39.841985;4;Haemoproteus;4;5;2;2;4;4;R_M
COLPLU01;3;3;3828.84269735449;4553.40112086711;3828.84253907638;2533.01515593267;-29.466667;-6.583333;2148.71118420568;-77.55;-50.166667;2;Haemoproteus;3;9;3;9;2;2;R_PM_M
COLPLU02;1;1;0;0;0;0;-6.716667;-6.716667;0;-77.416667;-77.416667;1;Haemoproteus;1;1;1;1;1;1;R
COLSQU03;1;1;0;0;0;0;-12.90198;-12.90198;0;-39.841985;-39.841985;1;Haemoproteus;1;2;1;1;1;1;R
COLSQU04;1;1;0;0;0;0;-12.90198;-12.90198;0;-39.841985;-39.841985;1;Haemoproteus;1;1;1;1;1;1;R
COLSU04;1;1;0;0;0;0;-12.90198;-12.90198;0;-39.841985;-39.841985;1;Haemoproteus;1;1;1;1;1;1;R
COLTAL01;1;1;0;0;0;0;-12.90198;-12.90198;0;-39.841985;-39.841985;1;Haemoproteus;1;1;1;1;1;1;R
COLTAL02;1;1;0;0;0;0;-16.25;-16.25;0;-56.366667;-56.366667;1;Haemoproteus;1;1;1;1;1;1;R
COMEL01;2;2;551.265726812305;0;551.265726812305;429.088779135666;-19.4724319;-15.5954324;257.050989862506;-42.825918;-39.5655673;2;Plasmodium;2;2;1;1;2;1;R
CO0UR01;1;1;0;0;0;0;-1.95;-1.95;0;-51.6;-51.6;1;Plasmodium;1;1;1;1;1;1;R
CONCAS01;2;2;20.8462701975198;0;20.8462701975198;14.7453003064312;-6.716667;-6.583333;10.5128838774862;-77.55;-77.416667;1;Plasmodium;2;2;1;2;1;1;R
COPIC01;2;2;1145.40558673187;0;1145.40558673187;903.122231280723;-14.50911;-6.344364;507.675587401579;-43.59298;-37.152527;2;Haemoproteus;2;19;1;3;2;2;R
COPIL01;4;4;1006.59256027843;111796.281185215;647.122171618034;348.419417058375;-17.657674;-14.50911;470.239789853452;-45.5308804;-39.5655673;4;Plasmodium;4;8;1;5;1;1;R
COQUI05;1;1;0;0;0;0;-23.651383;-23.651383;0;-46.619467;-46.619467;1;Haemoproteus;1;1;1;1;1;1;R
CORCUC01;1;1;0;0;0;0;-30.205564;-30.205564;0;-57.495736;-57.495736;1;Plasmodium;1;1;1;1;1;1;R
CORPIL01;3;3;342.846481459307;3852.74397510582;329.097341269517;28.2703750804206;-6.6;-6.344364;233.700024758276;-40.116667;-37.152527;2;Plasmodium;3;17;1;4;1;1;R
CORPIL02;1;1;0;0;0;0;-6.566667;-6.566667;0;-37.266667;-37.266667;1;Plasmodium;1;2;1;1;1;1;R
CORPIL03;2;2;27.6339539793355;0;27.6339539793355;24.5841165351042;-6.566667;-6.344364;8.99957701353893;-37.266667;-37.152527;1;Haemoproteus;2;2;1;2;1;1;R
CORPIL06;1;1;0;0;0;0;-6.566667;-6.566667;0;-37.266667;-37.266667;1;Haemoproteus;1;1;1;1;1;1;R
CORPIL07;1;1;0;0;0;0;-6.566667;-6.566667;0;-37.266667;-37.266667;1;Plasmodium;1;1;1;1;1;1;R
CORPIL09;1;1;0;0;0;0;-6.566667;-6.566667;0;-37.266667;-37.266667;1;Plasmodium;1;1;1;1;1;1;R
CORPIL11;1;1;0;0;0;0;-6.566667;-6.566667;0;-37.266667;-37.266667;1;Haemoproteus;1;1;1;1;1;1;R
CORPIL14;1;1;0;0;0;0;-6.566667;-6.566667;0;-37.266667;-37.266667;1;Plasmodium;1;1;1;1;1;1;R
COSQU01;4;4;691.126229318221;54652.9604060603;454.842875279761;442.838143573694;-18.4526633;-14.4510092;161.352920746879;-45.5308804;-43.4844164;3;Haemoproteus;4;6;1;2;1;1;R
COSQU02;1;1;0;0;0;0;-14.50911;-14.50911;0;-43.59298;-43.59298;1;Haemoproteus;1;1;1;1;1;1;R
COSQU03;1;1;0;0;0;0;-14.50911;-14.50911;0;-43.59298;-43.59298;1;Haemoproteus;1;1;1;1;1;1;R
COSQU04;1;1;0;0;0;0;-14.50911;-14.50911;0;-43.59298;-43.59298;1;Haemoproteus;1;1;1;1;1;1;R
COTAL01;4;4;1668.5346621475;274651.841327433;1358.54785425826;1110.90209251636;-15.5954324;-5.5524107;669.03029041582;-43.59298;-35.103905;3;Haemoproteus;4;10;2;6;2;2;R_M
CPCT57;1;1;0;0;0;0;-5.5524107;-5.5524107;0;-35.103905;-35.103905;1;Plasmodium;1;1;1;1;1;1;R
CRAVUL01;1;1;0;0;0;0;-4.5;-4.5;0;-56.266667;-56.266667;1;Plasmodium;1;1;1;1;1;1;R
CREFUR01;3;3;6942.85585122026;1711977.0507255;6720.56466961574;528.920292008806;-3.866667;0.916667;4641.76579428393;-89.667117;-29.333333;3;Haemoproteus;3;3;1;2;2;3;M
CRYUND01;1;1;0;0;0;0;-16.25;-16.25;0;-56.366667;-56.366667;1;Plasmodium;1;1;1;1;1;1;R
CYACYA01;1;1;0;0;0;0;-5.066667;-5.066667;0;-56.85;-56.85;1;Haemoproteus;1;1;1;1;1;1;R
CYACYA03;1;1;0;0;0;0;-5.72;-5.72;0;-63217;-63217;1;Plasmodium;1;1;1;1;1;1;R
CYACYA04;1;1;0;0;0;0;-9.316667;-9.316667;0;-64.716667;-64.716667;1;Plasmodium;1;1;1;1;1;1;R
CYCGUJ01;1;1;0;0;0;0;-15.166667;-15.166667;0;-45.733333;-45.733333;1;Plasmodium;1;1;1;1;1;1;R
CYCYA01;9;9;4570.90545631523;2073913.39911187;3083.54957529377;1362.3652006261;-12.90198;-0.583333;1969.1040252978;-64.916667;-39.841985;6;Plasmodium;9;22;1;13;2;2;R
CYCYAN01;2;2;2350.45221247528;0;2350.45221247528;962.274228996499;-13.8;-5.1;1537.69761254748;-79.233333;-59.683333;2;Haemoproteus;2;4;1;4;2;2;R
CYPHIR01;1;1;0;0;0;0;-15.533333;-15.533333;0;-47.55;-47.55;1;Haemoproteus;1;1;1;1;1;1;R
CYPHIR03;2;2;199.250910867455;0;199.250910867455;40.5723755055898;-15.533333;-15.166667;143.235443219638;-47.55;-45.733333;1;Haemoproteus;2;11;1;1;1;2;R
CYPHIR04;1;1;0;0;0;0;-15.166667;-15.166667;0;-45.733333;-45.733333;1;Haemoproteus;1;2;1;1;1;1;R
DE0UT01;2;2;1135.44031796898;0;1135.44031796898;930.68970605928;-2.733333;5.683333;461.153763037544;-71.083333;-65.233333;2;Haemoproteus;2;2;2;2;2;2;R_M
DENCER01;1;1;0;0;0;0;-5.216667;-5.216667;0;-56.916667;-56.916667;1;Plasmodium;1;1;1;1;1;1;R
DENCER02;4;4;2409.58691089394;533459.688706674;2057.23848595953;1211.24617340981;-12.90198;-1.95;1321.56675311722;-56.633333;-39.841985;3;Haemoproteus;4;12;1;8;2;2;R
DENFUL01;2;2;48.7304956194363;0;48.7304956194363;42.3899565432992;-5.066667;-4.683333;17.0835021297505;-56.85;-56.633333;2;Haemoproteus;2;2;1;2;1;1;R
DENFUL02;1;1;0;0;0;0;-1.35;-1.35;0;-56.366667;-56.366667;1;Plasmodium;1;1;1;1;1;1;R
DENMER01;2;2;85.7280723949452;0;85.7280723949452;79.8416316064087;-5.72;-4998;22.2347962750813;-63217;-62935;2;Plasmodium;2;2;1;2;1;1;R
DENMER02;2;2;1629.43793700784;0;1629.43793700784;790.689779230625;-9.1;-1.95;1013.42775840875;-64.466667;-51.6;2;Plasmodium;2;2;1;2;1;1;R
DENPET03;26;26;10077.4145909482;6619921.97999118;3599.54445668525;3127.28035238576;-30.205564;-1.95;2361.75708580795;-65.233333;-35.103905;14;Plasmodium;26;71;3;35;7;5;R_PM_M
DENVID01;2;2;2460.36891672565;0;2460.36891672565;2401.05665654734;-23.651383;-1.95;392.637424148398;-51.6;-46.619467;2;Plasmodium;2;2;1;2;2;2;R
DENVID02;1;1;0;0;0;0;-23.651383;-23.651383;0;-46.619467;-46.619467;1;Plasmodium;1;1;1;1;1;1;R
DETPET03;1;1;0;0;0;0;-13.84;-13.84;0;-39241;-39241;1;Plasmodium;1;1;1;1;1;1;R
DETUR01;3;3;3355.00379445753;1111638.64191454;2799.3108995022;1596.31450089293;-19.1130526;-4.683333;1873.91597912181;-64.466667;-40.613344;3;Plasmodium;3;8;1;4;2;2;R
DICCIN01;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Plasmodium;1;1;1;1;1;1;R
DIGCAE01;3;3;1482.4551038649;145568.511293869;1327.73435836832;1256.90599492886;-6.683333;4.683333;425.694087322323;-79.233333;-73.833333;2;Haemoproteus;3;5;1;4;1;2;R
DIGCYA01;1;1;0;0;0;0;-3;-3;0;-78.5;-78.5;1;Haemoproteus;1;3;1;1;1;1;R
DIGCYA02;2;2;177.750275344933;0;177.750275344933;164.025578063747;-4.483333;-3;48.6221239151476;-79.116667;-78.5;1;Plasmodium;2;2;1;1;1;1;R
DIGCYA03;2;2;190.287574970709;0;190.287574970709;33.1723107416328;0.35;0.65;132.723171455819;-79.716667;-78.033333;1;Haemoproteus;2;5;1;1;1;1;R
DIGCYA04;1;1;0;0;0;0;-3;-3;0;-78.5;-78.5;1;Leucocytozoon;1;1;1;1;1;1;R
DIGCYA05;1;1;0;0;0;0;-3;-3;0;-78.5;-78.5;1;Leucocytozoon;1;1;1;1;1;1;R
DIGCYA06;1;1;0;0;0;0;0.65;0.65;0;-78.033333;-78.033333;1;Leucocytozoon;1;1;1;1;1;1;R
DIGCYA07;1;1;0;0;0;0;0.65;0.65;0;-78.033333;-78.033333;1;Leucocytozoon;1;1;1;1;1;1;R
DIGCYA08;1;1;0;0;0;0;4.683333;4.683333;0;-73.833333;-73.833333;1;Plasmodium;1;1;1;1;1;1;R
DIGLAF01;6;6;2037.99527779513;203331.806318944;1858.18007106516;1752.7563058909;-5.1;10.75;438.827645934111;-79.233333;-73.666667;4;Plasmodium;5;9;1;9;1;2;R
DIGLAF02;1;1;0;0;0;0;4.616667;4.616667;0;-73.716667;-73.716667;1;Plasmodium;1;1;1;1;1;1;R
DIXPIP01;1;1;0;0;0;0;-0.4;-0.4;0;-64.8;-64.8;1;Plasmodium;1;1;1;1;1;1;R
DYSMEN01;1;1;0;0;0;0;-3.7;-3.7;0;-46.75;-46.75;1;Plasmodium;1;1;1;1;1;1;R
DYSMEN02;1;1;0;0;0;0;-6.583333;-6.583333;0;-77.55;-77.55;1;Haemoproteus;1;2;1;2;1;1;R
DYSMEN03;1;1;0;0;0;0;-6.583333;-6.583333;0;-77.55;-77.55;1;Plasmodium;1;1;1;1;1;1;R
DYSMEN04;2;2;20.8455539219463;0;20.8455539219463;14.7453003064312;-6.716667;-6.583333;10.5128838774862;-77.55;-77.416667;1;Plasmodium;2;2;1;1;1;1;R
ELACHI01;1;1;0;0;0;0;-6.566667;-6.566667;0;-37.266667;-37.266667;1;Haemoproteus;1;1;1;1;1;1;R
ELAFLA01;1;1;0;0;0;0;-1.35;-1.35;0;-56.366667;-56.366667;1;Haemoproteus;1;1;1;1;1;1;R
ELALB01;5;5;1790.00329049001;228537.995357209;1614.86746876014;1500.20916607401;-19.1130526;-5.5524107;465.652637765628;-41.011001;-35.103905;3;Haemoproteus;5;17;3;10;3;2;R_PM_M
ELALBO01;1;1;0;0;0;0;-16.5630651;-16.5630651;0;-45.5308804;-45.5308804;1;Haemoproteus;1;1;1;1;1;1;R
ELASPE01;1;1;0;0;0;0;-30.205564;-30.205564;0;-57.495736;-57.495736;1;Haemoproteus;1;1;1;1;1;1;PM
ELFLA01;1;1;0;0;0;0;-19.4910125;-19.4910125;0;-40.1206373;-40.1206373;1;Haemoproteus;1;2;2;2;1;1;R_PM
EMPALN02;1;1;0;0;0;0;-30.205564;-30.205564;0;-57.495736;-57.495736;1;Haemoproteus;1;19;3;10;1;1;R_PM_M
EMPOBE02;2;2;200.601571544143;0;200.601571544143;26.0231829401751;-15.4018485;-15.166667;146.013622693629;-47.5852374;-45.733333;1;Haemoproteus;2;2;1;2;1;2;R
EMPVAR01;1;1;0;0;0;0;-6.566667;-6.566667;0;-37.266667;-37.266667;1;Haemoproteus;1;1;1;1;1;1;PM
ENTLEU01;1;1;0;0;0;0;-6.583333;-6.583333;0;-77.55;-77.55;1;Plasmodium;1;1;1;1;1;1;R
EUCHL01;1;1;0;0;0;0;-17.657674;-17.657674;0;-43.4844164;-43.4844164;1;Plasmodium;1;1;1;1;1;1;R
EUMIN01;2;2;1860.07088152483;0;1860.07088152483;266.664753974461;-16.25;-13.84;1347.78148589794;-56.366667;-39241;2;Haemoproteus;2;2;1;2;2;2;R
EUPMAC01;1;1;0;0;0;0;-13.84;-13.84;0;-39241;-39241;1;Haemoproteus;1;1;1;1;1;1;R
EUTAQU01;3;3;137.937950238136;1155.34280943701;133.539814831552;127.162107681977;-2.633333;-1.483333;28.9105078164606;-78.166667;-77.8;1;Plasmodium;3;3;1;2;1;1;R
EUVIO01;1;1;0;0;0;0;-15.5954324;-15.5954324;0;-39.5655673;-39.5655673;1;Plasmodium;1;1;1;1;1;1;R
EUXAN01;1;1;0;0;0;0;-2.116667;-2.116667;0;-77.733333;-77.733333;1;Haemoproteus;1;1;1;1;1;1;R
FOCOL01;2;2;2244.69988857122;0;2244.69988857122;1898.56154829788;-19.1130526;-1.95;865.598399855838;-51.6;-40.613344;2;Plasmodium;2;3;1;1;2;2;R
FOCOL02;1;1;0;0;0;0;-19.1130526;-19.1130526;0;-40.613344;-40.613344;1;Plasmodium;1;1;1;1;1;1;R
FOGRI01;1;1;0;0;0;0;-5.5524107;-5.5524107;0;-35.103905;-35.103905;1;Plasmodium;1;1;1;1;1;1;R
FOLEU01;2;2;448.137247147756;0;448.137247147756;126.629230063523;-15.5954324;-14.4510092;315.154011632961;-43.5630135;-39.5655673;2;Haemoproteus;2;2;1;1;1;1;R
FOMEL01;2;2;348.615209716726;0;348.615209716726;348.419417058375;-17.657674;-14.50911;8.55989562613694;-43.59298;-43.4844164;2;Plasmodium;2;3;1;1;1;1;R
